tweet,tokens,text_clean,sentimiento_bert,cluster,Clasificacion
"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.","['despues', '1', 'ano', 'probando', 'tarjeta', 'credito', 'puedo', 'decir', 'buena', 'hablar', 'cuenta', 'debito', 'realmente', 'temas', 'seguridad', 'transacciones', 'top', 'tqm', 'hey']",despues 1 ano probando tarjeta credito puedo decir buena hablar cuenta debito realmente temas seguridad transacciones top tqm hey,5 stars,0,tarjeta
"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien","['amistad', 'usa', 'si', 'usas', 'tarjeta', '6', 'veces', 'mes', 'compras', '100', 'pesos', 'vuelves', 'heypro', 'inversion', 'da', 'rendimiento', '10', 'anual', 'super', 'super', 'bien', 'comparacion', 'bancos', 'inveir', '25', 'anos', 'allianz', 'explico', 'prima', 'suena', 'rebien']",amistad usa si usas tarjeta 6 veces mes compras 100 pesos vuelves heypro inversion da rendimiento 10 anual super super bien comparacion bancos inveir 25 anos allianz explico prima suena rebien,5 stars,0,rendimiento
Mmm. te da el rendimiento del 10% Es buena opción.,"['mmm', 'da', 'rendimiento', '10', 'buena', 'opcion']",mmm da rendimiento 10 buena opcion,5 stars,0,rendimiento
Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,"['gracias', 'aumento', 'credito', 'tarjeta', 'contenta', 'servicios']",gracias aumento credito tarjeta contenta servicios,5 stars,0,servicio
Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,"['hablando', 'ajolotes', 'banco', 'sacara', 'tarjeta', 'encanto']",hablando ajolotes banco sacara tarjeta encanto,5 stars,0,tarjeta
Gracias por ser el mejor banco ✨,"['gracias', 'ser', 'mejor', 'banco']",gracias ser mejor banco,5 stars,0,banco
"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.","['heybanco', 'pagares', 'semanales', '10', 'anual', 'semana', 'obtienes', 'rendimientos', 'puedes', 'reinveir', 'siguiente', 'pagare', 'forma', 'automatica', 'generas', 'interes', 'compuesto', 'rapido', 'muchisimo', 'mejor', '11', 'anual', 'cetes']",heybanco pagares semanales 10 anual semana obtienes rendimientos puedes reinveir siguiente pagare forma automatica generas interes compuesto rapido muchisimo mejor 11 anual cetes,5 stars,0,rendimiento
Excelente servicio de atención a clientes en HeyBanco 10/10,"['excelente', 'servicio', 'atencion', 'clientes', 'heybanco', '1010']",excelente servicio atencion clientes heybanco 1010,5 stars,0,servicio
"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.","['despues', 'hoy', 'vida', 'banco', 'favorito', 'dijeron', 'ten', 'tarjeta', 'regalo', 'eches', 'starbucks', 'relajes', 'rato']",despues hoy vida banco favorito dijeron ten tarjeta regalo eches starbucks relajes rato,5 stars,0,tarjeta
Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),"['hola', 'intenta', 'telefono', 'correo', 'imagen', 'app', 'verdad', 'problemas']",hola intenta telefono correo imagen app verdad problemas,5 stars,0,app
"real esa tarjeta es la neta, en general el banco es 10/10","['real', 'tarjeta', 'neta', 'general', 'banco', '1010']",real tarjeta neta general banco 1010,5 stars,0,tarjeta
.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado,"['heybanco', 'tqm', 'solo', 'mejores', 'bancos', 'producto', 'tdc', 'pagares', 'bancarios', 'inveir', 'ademas', 'sabe', 'ando', 'foraneo', 'regalo', 'dinerito', 'amazon', 'boleto', 'dorado']",heybanco tqm solo mejores bancos producto tdc pagares bancarios inveir ademas sabe ando foraneo regalo dinerito amazon boleto dorado,5 stars,0,banco
Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,"['contesta', 'compairles', 'colaboracion', 'hice', 'hey', 'banco']",contesta compairles colaboracion hice hey banco,5 stars,0,banco
Esta padrisima la tarjeta!!,"['padrisima', 'tarjeta']",padrisima tarjeta,5 stars,0,tarjeta
"Está muy bonito, me hace considerar adquirir la tarjeta","['bonito', 'hace', 'considerar', 'adquirir', 'tarjeta']",bonito hace considerar adquirir tarjeta,5 stars,0,tarjeta
Gracias. Ya le mande todos mis datos de mi tarjeta.,"['gracias', 'mande', 'datos', 'tarjeta']",gracias mande datos tarjeta,5 stars,0,tarjeta
"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema.","['pf', 'sigues', 'intermitencias', 'solo', 'hey', 'banco', 'bbva', 'problema']",pf sigues intermitencias solo hey banco bbva problema,5 stars,0,banco
"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.","['bbva', 'bancoppel', 'dos', 'trabajan', 'perfeccion']",bbva bancoppel dos trabajan perfeccion,5 stars,0,banco
"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!","['maravilla', 'servicio', 'eficiente', 'app', 'primera', 'altamente', 'recomendable']",maravilla servicio eficiente app primera altamente recomendable,5 stars,0,servicio
"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero","['animense', 'casi', 'ano', 'tarjeta', 'credito', 'heygarantizada', 'problemas', 'incluyendo', 'extranjero']",animense casi ano tarjeta credito heygarantizada problemas incluyendo extranjero,5 stars,0,tarjeta
Mucho exito! heybanco,"['exito', 'heybanco']",exito heybanco,5 stars,0,banco
Ustedes son mi banco y la verdad lo estan haciendo muy bien!,"['ustedes', 'banco', 'verdad', 'estan', 'haciendo', 'bien']",ustedes banco verdad estan haciendo bien,5 stars,0,banco
"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠","['asi', 'da', 'bienvenida', 'tarjeta', 'metal', 'aun', 'beneficios', 'adicionales']",asi da bienvenida tarjeta metal aun beneficios adicionales,5 stars,0,tarjeta
"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita","['cayo', 'app', 'sido', 'buena', 'experiencia', 'ustedes', 'fallen', 'necesita']",cayo app sido buena experiencia ustedes fallen necesita,5 stars,0,app
Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback,"['exacto', 'puntos', 'lealtad', 'solo', 'cambian', 'tiendapor', 'menos', 'santander', 'si', 'tienda', 'tenia', 'tecnologia', 'aiculos', 'hogar', 'mejor', 'cambien', 'mas', 'cashback']",exacto puntos lealtad solo cambian tiendapor menos santander si tienda tenia tecnologia aiculos hogar mejor cambien mas cashback,5 stars,0,cashback
Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠,"['verdaderamente', 'mejor', 'banco', 'tqm']",verdaderamente mejor banco tqm,5 stars,0,banco
Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.,"['super', 'ojala', 'pueda', 'ser', 'corregido', 'app', 'entonces', 'aparecio', 'asi', 'hace', 'dias', 'repente', 'graciascc']",super ojala pueda ser corregido app entonces aparecio asi hace dias repente graciascc,5 stars,0,app
"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses.","['cambiate', 'heybanco', 'momento', 'mejor', 'probado', 'dan', '2', 'gastas', 'dinero', 'gratis', 'si', 'siempre', 'paga', 'tiempo', 'nunca', 'paga', 'intereses']",cambiate heybanco momento mejor probado dan 2 gastas dinero gratis si siempre paga tiempo nunca paga intereses,5 stars,0,banco
En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito,"['verdad', 'agradezco', 'tarjeta', 'debito', 'necesito']",verdad agradezco tarjeta debito necesito,5 stars,0,tarjeta
"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️","['excelente', 'servicio', 'atencion', 'clientes', 'nunca', 'cambien']",excelente servicio atencion clientes nunca cambien,5 stars,0,servicio
"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden","['tambien', 'agradezco', 'personas', 'querido', 'hacer', 'donaciones', 'vestuario', 'duda', 'agradezco', 'aprecio', 'enormemente', 'si', 'ustedes', 'gustan', 'donar', 'pueden', 'hacerlo', 'clabe', '058597000024431851', 'heybanco', 'nombre', 'noris', 'vargas', 'g', 'embargo', 'tambien', 'pueden']",tambien agradezco personas querido hacer donaciones vestuario duda agradezco aprecio enormemente si ustedes gustan donar pueden hacerlo clabe 058597000024431851 heybanco nombre noris vargas g embargo tambien pueden,5 stars,0,banco
Teniendo tantas juntas de Cashback y viendo los beneficios me dan ganas de sacar mis tarjetas de &amp;,"['tantas', 'juntas', 'cashback', 'viendo', 'beneficios', 'dan', 'ganas', 'sacar', 'tarjetas', 'amp']",tantas juntas cashback viendo beneficios dan ganas sacar tarjetas amp,5 stars,0,cashback
"Habla al número que está en la tarjeta, yo lo hice así y no tuve ningún problema en españa ;)","['habla', 'numero', 'tarjeta', 'hice', 'asi', 'ningun', 'problema', 'espana']",habla numero tarjeta hice asi ningun problema espana,5 stars,0,tarjeta
"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech","['5', 'seguramente', 'veremos', 'dando', 'mas', 'noticias', 'innovacion', 'servicios', 'generando', 'mas', 'competencia', 'industria', 'financiera', 'beneficia', 'usuariosbancadigital', 'numexico', 'heybanco', 'innovacion', 'competenciafinanciera', 'fintech']",5 seguramente veremos dando mas noticias innovacion servicios generando mas competencia industria financiera beneficia usuariosbancadigital numexico heybanco innovacion competenciafinanciera fintech,5 stars,0,servicio
"Gracias hey banco, solucionaron el problema.","['gracias', 'hey', 'banco', 'solucionaron', 'problema']",gracias hey banco solucionaron problema,5 stars,0,banco
el mejor banco &lt;3,"['mejor', 'banco', 'lt3']",mejor banco lt3,5 stars,0,banco
"Uno de los productos más esperados del año!!!! En YouTube ya tenemos el unboxing, activación y pequeña navegación por el app de la tarjeta metálica de ! Les compao el link del video: TarjetaDeCrédito HeyBanco","['productos', 'mas', 'esperados', 'ano', 'youtube', 'unboxing', 'activacion', 'pequena', 'navegacion', 'app', 'tarjeta', 'metalica', 'compao', 'link', 'video', 'tarjetadecredito', 'heybanco']",productos mas esperados ano youtube unboxing activacion pequena navegacion app tarjeta metalica compao link video tarjetadecredito heybanco,5 stars,0,tarjeta
Me encanta que HeyBanco ya te manda notificación cuando se hace el cobro 🤙🏼,"['encanta', 'heybanco', 'manda', 'notificacion', 'hace', 'cobro']",encanta heybanco manda notificacion hace cobro,5 stars,0,banco
Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉👉🏼https://t.co/b6iYPqXW4F,"['excelente', 'mitad', 'semanapara', 'aun', 'duda', 'funciona', 'tarjeta', 'garantizada', 'httpstcob6iypqxw4f']",excelente mitad semanapara aun duda funciona tarjeta garantizada httpstcob6iypqxw4f,5 stars,0,tarjeta
Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉…,"['excelente', 'mitad', 'semanapara', 'aun', 'duda', 'funciona', 'tarjeta', 'garantizada']",excelente mitad semanapara aun duda funciona tarjeta garantizada,5 stars,0,tarjeta
"Recomiendo ampliamente que usen y como alternativas a los llamados bancos tradicionales. Si sus bancos les están cobrando alguna comisión de cualquier tipo en sus cuentas de débito o peor aún, no están generando nada, entonces están en el lugar incorrecto.","['recomiendo', 'ampliamente', 'usen', 'alternativas', 'llamados', 'bancos', 'tradicionales', 'si', 'bancos', 'estan', 'cobrando', 'alguna', 'comision', 'cualquier', 'tipo', 'cuentas', 'debito', 'peor', 'aun', 'estan', 'generando', 'entonces', 'estan', 'lugar', 'incorrecto']",recomiendo ampliamente usen alternativas llamados bancos tradicionales si bancos estan cobrando alguna comision cualquier tipo cuentas debito peor aun estan generando entonces estan lugar incorrecto,5 stars,0,banco
"¡Hola! Abre tu Cuenta Hey y obtén un boleto dorado cada mes para ganar.https://t.co/j45MnogZ Te recomiendo muchísimo la cuenta, de hecho la reseñan muy bien varios YouTubers de finanzas.","['hola', 'abre', 'cuenta', 'hey', 'obten', 'boleto', 'dorado', 'cada', 'mes', 'ganarhttpstcoj45mnogz', 'recomiendo', 'muchisimo', 'cuenta', 'hecho', 'resenan', 'bien', 'varios', 'youtubers', 'finanzas']",hola abre cuenta hey obten boleto dorado cada mes ganarhttpstcoj45mnogz recomiendo muchisimo cuenta hecho resenan bien varios youtubers finanzas,5 stars,0,recomi
Yo fui muy feliz por muchos años con la Santander Free hasta que me cambié a HeyBanco y su tarjeta me pareció una chulada. Recomiendo ampliamente.,"['feliz', 'anos', 'santander', 'free', 'cambie', 'heybanco', 'tarjeta', 'parecio', 'chulada', 'recomiendo', 'ampliamente']",feliz anos santander free cambie heybanco tarjeta parecio chulada recomiendo ampliamente,5 stars,0,tarjeta
"He probado 4 bancos tradicionales diferentes y hasta el momento el mejor manejando MSI, ha sido ✅Te permite ver exactamente cuánto debes en total. ✅ Te da la lista de todos los pagos futuros que tendrás que hacer mes por mes. ✅ Te da cashback de 2% en efectivo.","['probado', '4', 'bancos', 'tradicionales', 'diferentes', 'momento', 'mejor', 'manejando', 'msi', 'sido', 'permite', 'ver', 'exactamente', 'cuanto', 'debes', 'total', 'da', 'lista', 'pagos', 'futuros', 'tendras', 'hacer', 'mes', 'mes', 'da', 'cashback', '2', 'efectivo']",probado 4 bancos tradicionales diferentes momento mejor manejando msi sido permite ver exactamente cuanto debes total da lista pagos futuros tendras hacer mes mes da cashback 2 efectivo,5 stars,0,cashback
Con es tan sencillo hacer todo tipo de movimientos desde mi celular. Además tienen una super tasa de rendimiento…,"['tan', 'sencillo', 'hacer', 'tipo', 'movimientos', 'celular', 'ademas', 'super', 'tasa', 'rendimiento']",tan sencillo hacer tipo movimientos celular ademas super tasa rendimiento,5 stars,0,rendimiento
Listos! 💪🏼heybanco PalNoe2021,"['listos', 'heybanco', 'palnoe2021']",listos heybanco palnoe2021,5 stars,0,banco
"Muchas Gracias, ya fue resuelto, gracias por el sopoe. Excelente servicio 👌🏽","['muchas', 'gracias', 'resuelto', 'gracias', 'sopoe', 'excelente', 'servicio']",muchas gracias resuelto gracias sopoe excelente servicio,5 stars,2,servicio
AMO heybanco bien cabron. Jaja,"['amo', 'heybanco', 'bien', 'cabron', 'jaja']",amo heybanco bien cabron jaja,5 stars,0,banco
Por fiiiin modificaron la app de ya detecta mi huella y tiene una bonita sección de métricas de tus gastos. Ah y pagué sin temas la luz.,"['fiiiin', 'modificaron', 'app', 'detecta', 'huella', 'bonita', 'seccion', 'metricas', 'gastos', 'ah', 'pague', 'temas', 'luz']",fiiiin modificaron app detecta huella bonita seccion metricas gastos ah pague temas luz,5 stars,0,app
"Ps.... su aplicación es la mejor, he visto HSBC y Banamex y nel. ¿qué tal la de HeyBanco, la has probado?","['ps', 'aplicacion', 'mejor', 'visto', 'hsbc', 'banamex', 'nel', 'tal', 'heybanco', 'probado']",ps aplicacion mejor visto hsbc banamex nel tal heybanco probado,5 stars,0,banco
"Desde que abrí mi cuenta los amo ♥️. Si puedes, te recomiendo INVERSIÓN HEY ahí tengo mis ahorros y si eres Hey Pro hay mejores rendimientos 🤩","['abri', 'cuenta', 'amo', 'si', 'puedes', 'recomiendo', 'inversion', 'hey', 'ahi', 'ahorros', 'si', 'hey', 'pro', 'mejores', 'rendimientos']",abri cuenta amo si puedes recomiendo inversion hey ahi ahorros si hey pro mejores rendimientos,5 stars,0,rendimiento
"ay suena súper bien, justo lo que me anda gustando mucho ahorita de nu es su pae de hacer crecer tu dinero jajk o sea la inversión, quiero entrarle más al tema👀 la más fan de los neobanks, definitivamente cuando por fin mande alv a banamex me abriré una de heybanco 🤓🩷","['ay', 'suena', 'super', 'bien', 'justo', 'anda', 'gustando', 'ahorita', 'nu', 'pae', 'hacer', 'crecer', 'dinero', 'jajk', 'inversion', 'quiero', 'entrarle', 'mas', 'tema', 'mas', 'fan', 'neobanks', 'definitivamente', 'fin', 'mande', 'alv', 'banamex', 'abrire', 'heybanco']",ay suena super bien justo anda gustando ahorita nu pae hacer crecer dinero jajk inversion quiero entrarle mas tema mas fan neobanks definitivamente fin mande alv banamex abrire heybanco,5 stars,0,banco
"Que sean tan fácil de usar y sobre todo confiables como heybanco, cuales?","['tan', 'facil', 'usar', 'confiables', 'heybanco', 'cuales']",tan facil usar confiables heybanco cuales,5 stars,0,banco
"Ya me llegó la Ajolotarjeta de y me encantó, acá les dejo el unboxing para que vean más detalles de este nuevo diseño:","['llego', 'ajolotarjeta', 'encanto', 'aca', 'dejo', 'unboxing', 'vean', 'mas', 'detalles', 'nuevo', 'diseno']",llego ajolotarjeta encanto aca dejo unboxing vean mas detalles nuevo diseno,5 stars,0,tarjeta
Yo voy a pedir la mía está preciosa esa tarjeta 👍🥰,"['voy', 'pedir', 'mia', 'preciosa', 'tarjeta']",voy pedir mia preciosa tarjeta,5 stars,0,tarjeta
"Buenos días, he gracias por la atención, llame al servicio al cliente y todo bien, ya no aparece así, muchas gracias 👀","['buenos', 'dias', 'gracias', 'atencion', 'llame', 'servicio', 'cliente', 'bien', 'aparece', 'asi', 'muchas', 'gracias']",buenos dias gracias atencion llame servicio cliente bien aparece asi muchas gracias,5 stars,0,servicio
"esperemos que responda en sinceramente no he tenido problemas con ellos se me hace un buen banco, muchas gracias.","['esperemos', 'responda', 'sinceramente', 'problemas', 'hace', 'buen', 'banco', 'muchas', 'gracias']",esperemos responda sinceramente problemas hace buen banco muchas gracias,5 stars,0,banco
El mejor banco es HeyBanco por mucha diferencia nk,"['mejor', 'banco', 'heybanco', 'mucha', 'diferencia', 'nk']",mejor banco heybanco mucha diferencia nk,5 stars,0,banco
"Sí, tengo distintas cuentas y siempre me han apoyado cuando llega a pasar algo. Hasta ahora HeyBanco y BBVA han sido mis mejores experiencias","['si', 'distintas', 'cuentas', 'siempre', 'apoyado', 'llega', 'pasar', 'ahora', 'heybanco', 'bbva', 'sido', 'mejores', 'experiencias']",si distintas cuentas siempre apoyado llega pasar ahora heybanco bbva sido mejores experiencias,5 stars,0,banco
Recomiendo HeyBanco,"['recomiendo', 'heybanco']",recomiendo heybanco,5 stars,0,banco
Yo he tenido buena experiencia con HeyBanco. 1% cashback en compras físicas y 2% en compras online. La app es fácil de usar y permite inveir al 10% anual renovando cada 7 días. Actualmente la utilizo para cubrir mi gasto mensual. Estoy contento con ella.,"['buena', 'experiencia', 'heybanco', '1', 'cashback', 'compras', 'fisicas', '2', 'compras', 'online', 'app', 'facil', 'usar', 'permite', 'inveir', '10', 'anual', 'renovando', 'cada', '7', 'dias', 'actualmente', 'utilizo', 'cubrir', 'gasto', 'mensual', 'contento']",buena experiencia heybanco 1 cashback compras fisicas 2 compras online app facil usar permite inveir 10 anual renovando cada 7 dias actualmente utilizo cubrir gasto mensual contento,5 stars,0,cashback
Ilimitadas. Puedes hacer todas las que quieras con los plazos que gustes y los mejores rendimientos. En ofrecemos la mejor plataforma digital que te permite libead financiera.,"['ilimitadas', 'puedes', 'hacer', 'todas', 'quieras', 'plazos', 'gustes', 'mejores', 'rendimientos', 'ofrecemos', 'mejor', 'plataforma', 'digital', 'permite', 'libead', 'financiera']",ilimitadas puedes hacer todas quieras plazos gustes mejores rendimientos ofrecemos mejor plataforma digital permite libead financiera,5 stars,0,rendimiento
Dame el telefono de servicio al cliente,"['dame', 'telefono', 'servicio', 'cliente']",dame telefono servicio cliente,5 stars,0,servicio
"Excelente servicio Por cieo, como dato Por cualquier cosa yo no di mis datos bancarios pues de uso común Yo tengo una cuenta digital de HeyBanco que no utilizo más que para esto, y ahí me han estado llegando mis transferencias Adjunto evidencia","['excelente', 'servicio', 'cieo', 'dato', 'cualquier', 'cosa', 'di', 'datos', 'bancarios', 'pues', 'uso', 'comun', 'cuenta', 'digital', 'heybanco', 'utilizo', 'mas', 'ahi', 'llegando', 'transferencias', 'adjunto', 'evidencia']",excelente servicio cieo dato cualquier cosa di datos bancarios pues uso comun cuenta digital heybanco utilizo mas ahi llegando transferencias adjunto evidencia,5 stars,0,servicio
recomiendo x10000 HeyBanco!!!,"['recomiendo', 'x10000', 'heybanco']",recomiendo x10000 heybanco,5 stars,0,banco
Jaja lo mismo pasa con Mercado Pago y HeyBanco pero de acuerdo es una maravilla,"['jaja', 'mismo', 'pasa', 'mercado', 'pago', 'heybanco', 'acuerdo', 'maravilla']",jaja mismo pasa mercado pago heybanco acuerdo maravilla,5 stars,0,banco
"Si me resolvieron, tiene un gran servicio al cliente!","['si', 'resolvieron', 'gran', 'servicio', 'cliente']",si resolvieron gran servicio cliente,5 stars,0,servicio
"Ya lo hice, ayer saqué todaa lana y mejor me quedo con quienes ya llevo tiempo y no he tenido problemas con ellos. También recomiendo a me está jalando muy bien y mis clientes me pagan por ahí. Saludos.","['hice', 'ayer', 'saque', 'todaa', 'lana', 'mejor', 'quedo', 'llevo', 'tiempo', 'problemas', 'tambien', 'recomiendo', 'jalando', 'bien', 'clientes', 'pagan', 'ahi', 'saludos']",hice ayer saque todaa lana mejor quedo llevo tiempo problemas tambien recomiendo jalando bien clientes pagan ahi saludos,5 stars,0,recomi
"hoy fue mi primer día en heybanco ✨🌷✨ de regreso a la vida de oficina 🦋 mil gracias, 💋","['hoy', 'primer', 'dia', 'heybanco', 'regreso', 'vida', 'oficina', 'mil', 'gracias']",hoy primer dia heybanco regreso vida oficina mil gracias,5 stars,0,banco
Le sugiero encarecidamente que se comunique con ~bensonhack50~ en Instagram para solucionar cualquier problema relacionado con la cuenta. ahí rápido y confiable aún puedes graficarlos por WhatsApp 👉🏻👉🏻,"['sugiero', 'encarecidamente', 'comunique', 'bensonhack50', 'instagram', 'solucionar', 'cualquier', 'problema', 'relacionado', 'cuenta', 'ahi', 'rapido', 'confiable', 'aun', 'puedes', 'graficarlos', 'whatsapp']",sugiero encarecidamente comunique bensonhack50 instagram solucionar cualquier problema relacionado cuenta ahi rapido confiable aun puedes graficarlos whatsapp,5 stars,0,app
"En la Comunidarks me recomendaron la Rappicard y la HeyBanco. Uso más la de HeyBanco por las recompensas, no hay anualidad, además te da tarjeta dual entonces tienes de crédito y débito. La Rappicard la uso para cosas más específicas, por ej Ticketmaster la acepta sin problema.","['comunidarks', 'recomendaron', 'rappicard', 'heybanco', 'uso', 'mas', 'heybanco', 'recompensas', 'anualidad', 'ademas', 'da', 'tarjeta', 'dual', 'entonces', 'credito', 'debito', 'rappicard', 'uso', 'cosas', 'mas', 'especificas', 'ej', 'ticketmaster', 'acepta', 'problema']",comunidarks recomendaron rappicard heybanco uso mas heybanco recompensas anualidad ademas da tarjeta dual entonces credito debito rappicard uso cosas mas especificas ej ticketmaster acepta problema,5 stars,0,tarjeta
Que guen servicio traen los de siemrpe resuelven bien 10/10 ☺️☺️,"['guen', 'servicio', 'traen', 'siemrpe', 'resuelven', 'bien', '1010']",guen servicio traen siemrpe resuelven bien 1010,5 stars,0,servicio
